word,total_score,appeared_times,averange_score
配音,315,97,3.2474
观感,306,97,3.1546
动作片,290,96,3.0208
漂亮,345,96,3.5938
不用,307,96,3.1979
冗长,264,96,2.75
黑暗,303,96,3.1562
首映,363,96,3.7812
外星,292,96,3.0417
感受,316,95,3.3263
变身,323,95,3.4
女友,329,95,3.4632
剪辑,290,95,3.0526
激动,334,95,3.5158
复古,324,95,3.4105
总体,319,94,3.3936
刻意,271,94,2.883
技能,314,94,3.3404
内容,266,94,2.8298
标准,283,94,3.0106
意外,332,92,3.6087
逗逼,322,92,3.5
正片,263,92,2.8587
美女,288,91,3.1648
密集,327,91,3.5934
出戏,274,90,3.0444
动机,258,90,2.8667
技术,295,89,3.3146
味道,298,89,3.3483
校园,293,89,3.2921
战衣,293,88,3.3295
不算,278,88,3.1591
想到,307,88,3.4886
流畅,316,88,3.5909
经典,302,88,3.4318
奇怪,264,88,3
很好,311,87,3.5747
昏昏欲睡,202,87,2.3218
毁灭,269,87,3.092
视角,311,87,3.5747
相比,279,86,3.2442
刺激,305,86,3.5465
过于,259,86,3.0116
一星,245,86,2.8488
外星人,250,86,2.907
星球,282,86,3.2791
表现,270,85,3.1765
话痨,305,85,3.5882
说实话,254,85,2.9882
拍成,227,85,2.6706
充满,288,84,3.4286
萌点,298,84,3.5476
无比,257,84,3.0595
程度,260,84,3.0952
感人,295,84,3.5119
对话,251,84,2.9881
可怜,274,84,3.2619
足够,294,83,3.5422
帅气,304,83,3.6627
原因,264,83,3.1807
乱七八糟,174,83,2.0964
满足,304,83,3.6627
折叠,275,83,3.3133
太帅,328,82,4
机器人,254,82,3.0976
才能,262,82,3.1951
乏味,198,82,2.4146
突兀,249,82,3.0366
笑话,215,82,2.622
炫酷,289,82,3.5244
游戏,254,81,3.1358
最差,165,81,2.037
法师,253,81,3.1235
劲歌,289,81,3.5679
发展,260,80,3.25
高富帅,266,80,3.325
遗憾,301,80,3.7625
人生,259,80,3.2375
没劲,195,80,2.4375
一般般,222,80,2.775
妹子,264,80,3.3
泪点,305,80,3.8125
脑子,233,79,2.9494
单薄,225,79,2.8481
莫名,252,79,3.1899
糟糕,206,79,2.6076
小哥,281,79,3.557
关系,230,78,2.9487
评论,257,78,3.2949
高分,193,78,2.4744
剩下,211,78,2.7051
